ratio,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
10_90,0.058258404400624776,0.0018356710451374477,0.09979017050007197,0.005519766596923922,0.061867364510368415,0.002553177488985984,0.08657689789315212,0.004626106654778394
20_80,0.056889423991527466,0.001435565381723696,0.09820142914052052,0.005844178327899418,0.060694169712588474,0.0023033944191445913,0.08320294021553407,0.005416855840502456
30_70,0.05539405539156463,0.0014972593828932108,0.09603450645130622,0.005418042887857533,0.059260113139214775,0.0020714236184016964,0.08063594841225728,0.005307393063926346
40_60,0.054156931991615496,0.0019609855815524045,0.09438228692912569,0.006120294706733058,0.05810115251818051,0.002428672581519893,0.07859409040516886,0.005831567598070094
50_50,0.05276682758322585,0.002554067190001118,0.0908769436781591,0.007586619680116244,0.05638028280755192,0.0030304749639037632,0.07633538430197054,0.006755357291905626
60_40,0.05085248742284169,0.002630165740719115,0.08639088983041657,0.007963059983064616,0.05409589149174674,0.0030636919861625504,0.07375986143802506,0.007104677835311842
70_30,0.04985911596684074,0.0027200094410839096,0.08302516120255171,0.0077097655096978355,0.052705702603635204,0.003140455090360198,0.07201988843106436,0.007212394505196497
80_20,0.04871121397150082,0.0033332125792909393,0.07932500367349064,0.0079037419229532,0.05123078140430641,0.0036215395267496994,0.07028902558577267,0.007712298843310118
90_10,0.04701516877758085,0.0037959144417095197,0.07244410539162231,0.008337002033089699,0.04894768276712798,0.004215445069113782,0.06758388851845923,0.008106987658888183
SVD_only,0.04367131432125211,0.00413460528931245,0.06334727088295684,0.006640317742150953,0.04467154663250437,0.0042950492618082405,0.06370095838440698,0.00786021880412467
