protocol,split,segment,fold,ratio,r_svd,coverage
fullcatalog,n/a,new,0,10_90,0.1,0.026041666666666668
fullcatalog,n/a,new,0,20_80,0.2,0.033854166666666664
fullcatalog,n/a,new,0,30_70,0.3,0.03732638888888889
fullcatalog,n/a,new,0,40_60,0.4,0.043402777777777776
fullcatalog,n/a,new,0,50_50,0.5,0.050347222222222224
fullcatalog,n/a,new,0,60_40,0.6,0.0546875
fullcatalog,n/a,new,0,70_30,0.7,0.059895833333333336
fullcatalog,n/a,new,0,80_20,0.8,0.06597222222222222
fullcatalog,n/a,new,0,90_10,0.9,0.06944444444444445
testonly,val_inner,new,0,10_90,0.1,0.0213903743315508
testonly,val_inner,new,0,20_80,0.2,0.0213903743315508
testonly,val_inner,new,0,30_70,0.3,0.0427807486631016
testonly,val_inner,new,0,40_60,0.4,0.0481283422459893
testonly,val_inner,new,0,50_50,0.5,0.058823529411764705
testonly,val_inner,new,0,60_40,0.6,0.06417112299465241
testonly,val_inner,new,0,70_30,0.7,0.0962566844919786
testonly,val_inner,new,0,80_20,0.8,0.20855614973262032
testonly,val_inner,new,0,90_10,0.9,0.28342245989304815
testonly,test_final,new,0,10_90,0.1,0.03125
testonly,test_final,new,0,20_80,0.2,0.03125
testonly,test_final,new,0,30_70,0.3,0.03125
testonly,test_final,new,0,40_60,0.4,0.036458333333333336
testonly,test_final,new,0,50_50,0.5,0.041666666666666664
testonly,test_final,new,0,60_40,0.6,0.0625
testonly,test_final,new,0,70_30,0.7,0.15625
testonly,test_final,new,0,80_20,0.8,0.23958333333333334
testonly,test_final,new,0,90_10,0.9,0.3333333333333333
fullcatalog,n/a,trend,0,10_90,0.1,0.043402777777777776
fullcatalog,n/a,trend,0,20_80,0.2,0.044270833333333336
fullcatalog,n/a,trend,0,30_70,0.3,0.049479166666666664
fullcatalog,n/a,trend,0,40_60,0.4,0.059895833333333336
fullcatalog,n/a,trend,0,50_50,0.5,0.0642361111111111
fullcatalog,n/a,trend,0,60_40,0.6,0.06770833333333333
fullcatalog,n/a,trend,0,70_30,0.7,0.07291666666666667
fullcatalog,n/a,trend,0,80_20,0.8,0.07465277777777778
fullcatalog,n/a,trend,0,90_10,0.9,0.07899305555555555
testonly,val_inner,trend,0,10_90,0.1,0.011299435028248588
testonly,val_inner,trend,0,20_80,0.2,0.01694915254237288
testonly,val_inner,trend,0,30_70,0.3,0.025423728813559324
testonly,val_inner,trend,0,40_60,0.4,0.031073446327683617
testonly,val_inner,trend,0,50_50,0.5,0.0480225988700565
testonly,val_inner,trend,0,60_40,0.6,0.07909604519774012
testonly,val_inner,trend,0,70_30,0.7,0.1384180790960452
testonly,val_inner,trend,0,80_20,0.8,0.2457627118644068
