split,segment,fold,ratio,r_svd,rmse,mae,n_matched
val_inner,new,0,10_90,0.1,1.7304356813916042,1.4783806954570777,362
val_inner,new,0,20_80,0.2,1.5981252731957745,1.3547674189157177,362
val_inner,new,0,30_70,0.3,1.4716299156695953,1.239336453873056,362
val_inner,new,0,40_60,0.4,1.3525820888334716,1.1320697801825965,362
val_inner,new,0,50_50,0.5,1.2431232778149244,1.0357442325415238,362
val_inner,new,0,60_40,0.6,1.1460044236957867,0.9513140889147277,362
val_inner,new,0,70_30,0.7,1.0646080372081035,0.8799045279822455,362
val_inner,new,0,80_20,0.8,1.0027701058162108,0.8255367721008853,362
val_inner,new,0,90_10,0.9,0.9642608442854071,0.7877523548841127,362
test_final,new,0,10_90,0.1,1.6634073119900645,1.4075212779357726,442
test_final,new,0,20_80,0.2,1.5370470482741643,1.293280360815295,442
test_final,new,0,30_70,0.3,1.417147879180115,1.1836434481967504,442
test_final,new,0,40_60,0.4,1.3054912233144822,1.0849069977381711,442
test_final,new,0,50_50,0.5,1.2043717435524863,0.9963724683547766,442
test_final,new,0,60_40,0.6,1.1166557208980026,0.9177201666423972,442
test_final,new,0,70_30,0.7,1.0457214931284944,0.8526997061792708,442
test_final,new,0,80_20,0.8,0.9951641187249497,0.8061828321445946,442
test_final,new,0,90_10,0.9,0.9681810497186939,0.7717363466460371,442
val_inner,trend,0,10_90,0.1,1.5555356136272342,1.3609410255521477,805
val_inner,trend,0,20_80,0.2,1.429117407188515,1.2410860326873974,805
val_inner,trend,0,30_70,0.3,1.3085084117566044,1.1241854395692223,805
val_inner,trend,0,40_60,0.4,1.1933279107435388,1.0161954557515178,805
val_inner,trend,0,50_50,0.5,1.0830332398211455,0.9143772472669504,805
val_inner,trend,0,60_40,0.6,0.9838596533510019,0.8223981167140523,805
val_inner,trend,0,70_30,0.7,0.9052200977652585,0.7483949570541234,805
val_inner,trend,0,80_20,0.8,0.8471215566558677,0.6898298256644052,805
val_inner,trend,0,90_10,0.9,0.812071881008286,0.652477138474804,805
test_final,trend,0,10_90,0.1,1.539004064858614,1.3337561763257588,898
test_final,trend,0,20_80,0.2,1.4156208676943376,1.2157747193928916,898
test_final,trend,0,30_70,0.3,1.2973271464684422,1.1039260083149278,898
test_final,trend,0,40_60,0.4,1.1853316755815677,0.9995385344608408,898
test_final,trend,0,50_50,0.5,1.0829908835322604,0.906769065906946,898
test_final,trend,0,60_40,0.6,0.995276887136968,0.8275861662755495,898
test_final,trend,0,70_30,0.7,0.9243184726386334,0.7621521308979812,898
test_final,trend,0,80_20,0.8,0.8802518336449056,0.7167615402515918,898
test_final,trend,0,90_10,0.9,0.8622149504143283,0.6877629144532231,898
val_inner,regular,0,10_90,0.1,1.5949530579485127,1.38495617177412,4853
val_inner,regular,0,20_80,0.2,1.4717054783602945,1.2708445580460612,4853
val_inner,regular,0,30_70,0.3,1.3523362844815348,1.1590618587154946,4853
val_inner,regular,0,40_60,0.4,1.2374667766771386,1.0518879727603454,4853
val_inner,regular,0,50_50,0.5,1.1310299309638734,0.9536437590117094,4853
val_inner,regular,0,60_40,0.6,1.0305190635551305,0.8615472876477982,4853
val_inner,regular,0,70_30,0.7,0.9482435363315477,0.7857499990441003,4853
val_inner,regular,0,80_20,0.8,0.885318801849729,0.7261359041852641,4853
val_inner,regular,0,90_10,0.9,0.8449352113978713,0.6830791594177168,4853
test_final,regular,0,10_90,0.1,1.5756756645989094,1.3659782189778247,5079
test_final,regular,0,20_80,0.2,1.4607633975781298,1.2607205886929114,5079
test_final,regular,0,30_70,0.3,1.3484900588381254,1.1562951722236798,5079
test_final,regular,0,40_60,0.4,1.2406138586355293,1.0552066674992866,5079
test_final,regular,0,50_50,0.5,1.1431294763334752,0.9643951900815488,5079
test_final,regular,0,60_40,0.6,1.0568948067562405,0.883604412259873,5079
test_final,regular,0,70_30,0.7,0.9849980965307152,0.8134043494635765,5079
test_final,regular,0,80_20,0.8,0.9339780818831348,0.7578490979746673,5079
test_final,regular,0,90_10,0.9,0.9065513317363881,0.7186604787100184,5079
val_inner,new,1,10_90,0.1,1.681892851382285,1.4642371976629212,352
val_inner,new,1,20_80,0.2,1.545552192240464,1.3330421388947022,352
val_inner,new,1,30_70,0.3,1.4145250519851804,1.2055715032372496,352
val_inner,new,1,40_60,0.4,1.2904310112493242,1.087543363099347,352
val_inner,new,1,50_50,0.5,1.1754679048107322,0.9816995018128135,352
val_inner,new,1,60_40,0.6,1.0725758360284894,0.8902905931712785,352
val_inner,new,1,70_30,0.7,0.9855427850530877,0.813895050149183,352
val_inner,new,1,80_20,0.8,0.9188861554371585,0.7554156893008642,352
val_inner,new,1,90_10,0.9,0.8772630623045005,0.7169045605779192,352
test_final,new,1,10_90,0.1,1.6522637073752615,1.4035358745440996,414
test_final,new,1,20_80,0.2,1.5272185047222853,1.2930399102173962,414
test_final,new,1,30_70,0.3,1.409594405812489,1.1939088114863263,414
test_final,new,1,40_60,0.4,1.3014051797593686,1.1031497115116242,414
test_final,new,1,50_50,0.5,1.2051943910366187,1.0179555961848965,414
test_final,new,1,60_40,0.6,1.1240420916241074,0.9435424958943692,414
test_final,new,1,70_30,0.7,1.0614079105481695,0.8839702999244343,414
test_final,new,1,80_20,0.8,1.0207065722727195,0.8355979633537186,414
test_final,new,1,90_10,0.9,1.0046074288308735,0.8025282284262227,414
val_inner,trend,1,10_90,0.1,1.5739768189464596,1.3882596799583866,801
val_inner,trend,1,20_80,0.2,1.4504859732415714,1.2685404384385253,801
val_inner,trend,1,30_70,0.3,1.3287795514864942,1.1501568005387321,801
val_inner,trend,1,40_60,0.4,1.21405845737875,1.037405865013466,801
val_inner,trend,1,50_50,0.5,1.1066070706057767,0.9380051602410892,801
val_inner,trend,1,60_40,0.6,1.007783454335674,0.8505276274186548,801
val_inner,trend,1,70_30,0.7,0.9254144313892785,0.7766967286886416,801
val_inner,trend,1,80_20,0.8,0.8638153548868689,0.7155614143829147,801
val_inner,trend,1,90_10,0.9,0.8246232277975815,0.6730369936536046,801
test_final,trend,1,10_90,0.1,1.5740054834164456,1.3720954902112248,885
test_final,trend,1,20_80,0.2,1.4467216994422678,1.2511901884241974,885
test_final,trend,1,30_70,0.3,1.327479965416779,1.1373281699598285,885
test_final,trend,1,40_60,0.4,1.216660012956776,1.031163877103674,885
test_final,trend,1,50_50,0.5,1.1158619181727503,0.9362713804859079,885
test_final,trend,1,60_40,0.6,1.0284832016422418,0.8547889217149953,885
test_final,trend,1,70_30,0.7,0.9583404782319657,0.7848463481176969,885
test_final,trend,1,80_20,0.8,0.9108812827288054,0.7305792041623793,885
test_final,trend,1,90_10,0.9,0.8820491237971655,0.6911453091522975,885
val_inner,regular,1,10_90,0.1,1.5816414946705208,1.374300900249814,4867
val_inner,regular,1,20_80,0.2,1.4599559609798127,1.2600564341113045,4867
val_inner,regular,1,30_70,0.3,1.3423801176706105,1.1489392488994608,4867
val_inner,regular,1,40_60,0.4,1.2267518471524477,1.0408038234616785,4867
val_inner,regular,1,50_50,0.5,1.1173139005037735,0.9400886071451828,4867
val_inner,regular,1,60_40,0.6,1.0193045393562548,0.8506304330681336,4867
val_inner,regular,1,70_30,0.7,0.9382187082986063,0.7762347526549769,4867
val_inner,regular,1,80_20,0.8,0.876097645688172,0.7148468834298343,4867
val_inner,regular,1,90_10,0.9,0.840762617077766,0.6752693254895902,4867
test_final,regular,1,10_90,0.1,1.5774748790141357,1.363951831816821,5068
test_final,regular,1,20_80,0.2,1.4645204348363021,1.260773107436249,5068
test_final,regular,1,30_70,0.3,1.3577803182812864,1.1626669512757684,5068
test_final,regular,1,40_60,0.4,1.2535428140879192,1.0663911661160428,5068
test_final,regular,1,50_50,0.5,1.154862203394754,0.9762362176741557,5068
test_final,regular,1,60_40,0.6,1.0670497141497226,0.8946024057009447,5068
test_final,regular,1,70_30,0.7,0.9940446456585165,0.8219296003715834,5068
test_final,regular,1,80_20,0.8,0.9396171129424996,0.7637606139683489,5068
test_final,regular,1,90_10,0.9,0.9124119984463606,0.7265166320258979,5068
val_inner,new,2,10_90,0.1,1.7525848826707775,1.512442916507357,358
val_inner,new,2,20_80,0.2,1.6115974457882953,1.3841991319027873,358
val_inner,new,2,30_70,0.3,1.4765013356341778,1.2631240232285137,358
val_inner,new,2,40_60,0.4,1.3490675933920442,1.1487545434976432,358
val_inner,new,2,50_50,0.5,1.2316768486517198,1.0434644601494305,358
val_inner,new,2,60_40,0.6,1.1274704688024426,0.9532485638762458,358
val_inner,new,2,70_30,0.7,1.0404175926480226,0.875329720355481,358
val_inner,new,2,80_20,0.8,0.975123164894749,0.8123226332550285,358
val_inner,new,2,90_10,0.9,0.9361511186182152,0.7714019142377734,358
test_final,new,2,10_90,0.1,1.7608667429276146,1.5168249128137308,393
test_final,new,2,20_80,0.2,1.6278679728655818,1.3981499368942851,393
test_final,new,2,30_70,0.3,1.5019691111683855,1.2847578082514481,393
test_final,new,2,40_60,0.4,1.3851075437726343,1.1781100289774713,393
test_final,new,2,50_50,0.5,1.279761394876884,1.0772378781041374,393
test_final,new,2,60_40,0.6,1.1889954461258692,0.9877888273108313,393
test_final,new,2,70_30,0.7,1.1163716841125717,0.9147492043165155,393
test_final,new,2,80_20,0.8,1.065605896360415,0.8610829546060086,393
test_final,new,2,90_10,0.9,1.0399041968937741,0.8241273624265162,393
val_inner,trend,2,10_90,0.1,1.6442226786642475,1.4350999045783968,804
val_inner,trend,2,20_80,0.2,1.5125072101446635,1.308163639548561,804
val_inner,trend,2,30_70,0.3,1.3808300949471504,1.1796429262856907,804
val_inner,trend,2,40_60,0.4,1.2573515426300454,1.063510660468318,804
val_inner,trend,2,50_50,0.5,1.1433208434325859,0.9587799687839834,804
val_inner,trend,2,60_40,0.6,1.0376948059714266,0.8626988095848812,804
val_inner,trend,2,70_30,0.7,0.9491411006979819,0.7817266980194532,804
val_inner,trend,2,80_20,0.8,0.8770282453236123,0.7181812587366053,804
val_inner,trend,2,90_10,0.9,0.8329987772384785,0.6794642333632737,804
test_final,trend,2,10_90,0.1,1.6213897809398399,1.4162959256693737,871
test_final,trend,2,20_80,0.2,1.492655994396938,1.2946188245868073,871
test_final,trend,2,30_70,0.3,1.3712395050131354,1.176565350950305,871
test_final,trend,2,40_60,0.4,1.260612798352278,1.0708881255371596,871
test_final,trend,2,50_50,0.5,1.1539792311900328,0.9735889382504119,871
test_final,trend,2,60_40,0.6,1.0629334645439787,0.8894548793214598,871
test_final,trend,2,70_30,0.7,0.9896166995988162,0.8164232683259742,871
test_final,trend,2,80_20,0.8,0.9395659658642006,0.7610011994895107,871
test_final,trend,2,90_10,0.9,0.9171500825119648,0.7276158326558693,871
val_inner,regular,2,10_90,0.1,1.6533701411413293,1.441965865006924,4858
val_inner,regular,2,20_80,0.2,1.5256618172822873,1.323698272725906,4858
val_inner,regular,2,30_70,0.3,1.39674404481341,1.202769248525687,4858
val_inner,regular,2,40_60,0.4,1.2732779208284084,1.0878032197491965,4858
val_inner,regular,2,50_50,0.5,1.158314064019631,0.9819756832873797,4858
val_inner,regular,2,60_40,0.6,1.0530061830172142,0.8854669304061111,4858
val_inner,regular,2,70_30,0.7,0.9662901550792636,0.8040267490365806,4858
val_inner,regular,2,80_20,0.8,0.8982687648032306,0.7358580367549971,4858
val_inner,regular,2,90_10,0.9,0.8561432407117776,0.6864045466184749,4858
test_final,regular,2,10_90,0.1,1.6297330706416662,1.421962860972178,5032
test_final,regular,2,20_80,0.2,1.5148644416665438,1.3161533223318587,5032
test_final,regular,2,30_70,0.3,1.3948673026077776,1.204755128509955,5032
test_final,regular,2,40_60,0.4,1.2808125396183803,1.0964189446960841,5032
test_final,regular,2,50_50,0.5,1.1742971300356861,0.9967000643185789,5032
test_final,regular,2,60_40,0.6,1.0803048254431027,0.9078782790734217,5032
test_final,regular,2,70_30,0.7,0.9980751357226353,0.8255147103382259,5032
test_final,regular,2,80_20,0.8,0.9367565683422919,0.759964104152942,5032
test_final,regular,2,90_10,0.9,0.9033605728762014,0.7176820428339127,5032
val_inner,new,3,10_90,0.1,1.7489391231871132,1.4804024454074707,364
val_inner,new,3,20_80,0.2,1.6173405817905593,1.3579034696302672,364
val_inner,new,3,30_70,0.3,1.4917576748343029,1.2452358513576212,364
val_inner,new,3,40_60,0.4,1.3738410626327087,1.1410510554641717,364
val_inner,new,3,50_50,0.5,1.2657351509509398,1.0454163298193062,364
val_inner,new,3,60_40,0.6,1.1701622030121004,0.9624980042969196,364
val_inner,new,3,70_30,0.7,1.0904226668552746,0.8899876947215646,364
val_inner,new,3,80_20,0.8,1.0301997405618537,0.8355190882635058,364
val_inner,new,3,90_10,0.9,0.9930505125843078,0.7958821148612575,364
test_final,new,3,10_90,0.1,1.7977343987539696,1.5539522319383885,369
test_final,new,3,20_80,0.2,1.6664492999335763,1.4317905276394778,369
test_final,new,3,30_70,0.3,1.541137343891259,1.31621477076659,369
test_final,new,3,40_60,0.4,1.4233770051973544,1.2091559096654396,369
test_final,new,3,50_50,0.5,1.3151983226168826,1.1102009342756884,369
test_final,new,3,60_40,0.6,1.2191545838839395,1.0221597323886276,369
test_final,new,3,70_30,0.7,1.1383215335297268,0.949541994105999,369
test_final,new,3,80_20,0.8,1.0761322737893346,0.8908092629301119,369
test_final,new,3,90_10,0.9,1.0359498879703715,0.8475878908480124,369
val_inner,trend,3,10_90,0.1,1.6192229250028813,1.4200681993850015,820
val_inner,trend,3,20_80,0.2,1.4820203827320673,1.2862910520757407,820
val_inner,trend,3,30_70,0.3,1.3482829318305556,1.1550503136068753,820
val_inner,trend,3,40_60,0.4,1.219598901052704,1.0319375230764258,820
val_inner,trend,3,50_50,0.5,1.1015135840368147,0.922587701495812,820
val_inner,trend,3,60_40,0.6,0.9932450245082933,0.8271694183014775,820
val_inner,trend,3,70_30,0.7,0.9039879537040365,0.7468907847536885,820
val_inner,trend,3,80_20,0.8,0.8357940593835899,0.6850727401420397,820
val_inner,trend,3,90_10,0.9,0.7975335143129397,0.6498135766617316,820
test_final,trend,3,10_90,0.1,1.6434016642342062,1.435689634984261,876
test_final,trend,3,20_80,0.2,1.5102432115330822,1.3094964047034556,876
test_final,trend,3,30_70,0.3,1.384329810740927,1.1880714670506625,876
test_final,trend,3,40_60,0.4,1.2628532508602346,1.0733197996014157,876
test_final,trend,3,50_50,0.5,1.1467172657135623,0.9674515729294104,876
test_final,trend,3,60_40,0.6,1.0511618921701589,0.8822486319215787,876
test_final,trend,3,70_30,0.7,0.9668649841222565,0.8036415510503299,876
test_final,trend,3,80_20,0.8,0.9078345327733004,0.7434207379435303,876
test_final,trend,3,90_10,0.9,0.8754503763792256,0.7023656358706617,876
val_inner,regular,3,10_90,0.1,1.652294810716882,1.4383083246045942,4842
val_inner,regular,3,20_80,0.2,1.5229484465847027,1.3186050710912538,4842
val_inner,regular,3,30_70,0.3,1.394731136041066,1.197586732676226,4842
val_inner,regular,3,40_60,0.4,1.2731195383064582,1.0838915311029267,4842
val_inner,regular,3,50_50,0.5,1.1563861276063512,0.9764611323551285,4842
val_inner,regular,3,60_40,0.6,1.053900467688002,0.8832262880234819,4842
val_inner,regular,3,70_30,0.7,0.9663834429429045,0.8019165345637375,4842
val_inner,regular,3,80_20,0.8,0.8975960481085741,0.7345824606096941,4842
val_inner,regular,3,90_10,0.9,0.8559774846500583,0.6895683860559301,4842
test_final,regular,3,10_90,0.1,1.6361786349530492,1.4271597011061523,4975
test_final,regular,3,20_80,0.2,1.5151134160048514,1.3149289923073932,4975
test_final,regular,3,30_70,0.3,1.3965607731832392,1.2032708723261183,4975
test_final,regular,3,40_60,0.4,1.284761462402914,1.0972983120165485,4975
test_final,regular,3,50_50,0.5,1.1814808276233066,0.9989195249197392,4975
test_final,regular,3,60_40,0.6,1.0883484163744719,0.9108685153176453,4975
test_final,regular,3,70_30,0.7,1.011776835181722,0.8346457371923396,4975
test_final,regular,3,80_20,0.8,0.9591787649181053,0.7765579150030594,4975
test_final,regular,3,90_10,0.9,0.9310371088936822,0.7362495070445303,4975
val_inner,new,4,10_90,0.1,1.7092855987299953,1.4862618964501608,361
val_inner,new,4,20_80,0.2,1.576849029019578,1.3638769098226111,361
val_inner,new,4,30_70,0.3,1.450235085004581,1.2468836640309722,361
val_inner,new,4,40_60,0.4,1.33110633775087,1.1377408429288383,361
val_inner,new,4,50_50,0.5,1.2216544937857232,1.0357703717147997,361
val_inner,new,4,60_40,0.6,1.1247082560100645,0.942783497947791,361
val_inner,new,4,70_30,0.7,1.0437580942208686,0.8631154619618215,361
val_inner,new,4,80_20,0.8,0.9827647717180286,0.8025966411986621,361
val_inner,new,4,90_10,0.9,0.9455979975509825,0.7610284934425101,361
test_final,new,4,10_90,0.1,1.7445992710919882,1.4820705686313198,346
