protocol,split,segment,fold,metric,slope,r_squared,range
fullcatalog,n/a,new,0,precision,-0.01833333333333333,0.7839136183340679,0.01714285714285714
fullcatalog,n/a,new,1,precision,-0.010024154589371979,0.8554221854304632,0.009420289855072463
fullcatalog,n/a,new,2,precision,-0.014054726368159208,0.8941876750700283,0.012686567164179105
fullcatalog,n/a,new,3,precision,-0.011237373737373735,0.8827265973254087,0.007575757575757574
fullcatalog,n/a,new,4,precision,-0.006933333333333334,0.885589519650655,0.006400000000000001
fullcatalog,n/a,new,5,precision,-0.008194444444444443,0.9357526881720429,0.007500000000000001
fullcatalog,n/a,new,6,precision,-0.014564564564564567,0.9561991869918698,0.012612612612612617
fullcatalog,n/a,new,7,precision,1.0342631633285968e-19,1.2943373521323555e-33,0.0027272727272727275
fullcatalog,n/a,new,8,precision,-0.004393939393939395,0.742058823529412,0.004545454545454547
fullcatalog,n/a,new,9,precision,-0.005072463768115943,0.9280303030303029,0.003478260869565219
fullcatalog,n/a,regular,0,precision,-0.015194532071503678,0.8721605346513974,0.01246056782334385
fullcatalog,n/a,regular,1,precision,-0.02060988433228181,0.9788139371934519,0.016403785488958995
fullcatalog,n/a,regular,2,precision,-0.0205511811023622,0.9817382624847876,0.01685039370078739
fullcatalog,n/a,regular,3,precision,-0.015771458662453934,0.9439813028378998,0.012322274881516604
fullcatalog,n/a,regular,4,precision,-0.015989583333333342,0.9705052515960729,0.014687500000000013
fullcatalog,n/a,regular,5,precision,-0.024725274725274724,0.9766524978856188,0.018995290423861846
fullcatalog,n/a,regular,6,precision,-0.010341207349081364,0.8591130460448642,0.008031496062992124
fullcatalog,n/a,regular,7,precision,-0.014921875,0.88317462879277,0.013749999999999998
fullcatalog,n/a,regular,8,precision,-0.012715855572998432,0.9327944815965457,0.00989010989010989
fullcatalog,n/a,regular,9,precision,-0.002594339622641502,0.451243093922649,0.0037735849056603765
fullcatalog,n/a,trend,0,precision,-0.012626262626262624,0.5613772455089824,0.012878787878787878
fullcatalog,n/a,trend,1,precision,-0.005889724310776948,0.3114191729323314,0.01052631578947369
fullcatalog,n/a,trend,2,precision,-0.014411027568922301,0.9304643527204502,0.010526315789473675
fullcatalog,n/a,trend,3,precision,-0.02549751243781094,0.941420250896057,0.017910447761194027
fullcatalog,n/a,trend,4,precision,-0.02120098039215686,0.8882766125840922,0.016176470588235292
