number,value,datetime_start,datetime_complete,duration,params_alpha,params_d,params_decay,params_lambda,state
0,0.8941710857331849,2026-08-21 14:36:00.091028,2026-08-21 14:39:37.225151,0 days 00:03:37.134123,0.0018410729205738682,20,0.8110358863119579,0.015957084694148364,COMPLETE
1,0.8572090382467881,2026-08-21 14:39:37.225697,2026-08-21 14:41:53.399786,0 days 00:02:16.174089,0.044447541666908126,10,0.8403444310288725,0.12106896936002161,COMPLETE
2,0.8609323780172016,2026-08-21 14:41:53.400222,2026-08-21 14:44:49.585970,0 days 00:02:56.185748,0.005418282319533243,50,0.9162520499972521,0.023927528765580644,COMPLETE
3,0.8406777354290904,2026-08-21 14:44:49.586491,2026-08-21 14:49:15.487491,0 days 00:04:25.901000,0.02157696745589683,50,0.8977045432985862,0.018187859051288217,COMPLETE
4,0.8877844174831139,2026-08-21 14:49:15.488201,2026-08-21 14:53:46.378128,0 days 00:04:30.889927,0.0012897950480855534,30,0.9834700862841663,0.17160445029754812,COMPLETE
5,0.8582378134741491,2026-08-21 14:53:46.378992,2026-08-21 14:56:43.495166,0 days 00:02:57.116174,0.005595074635794793,10,0.8940836129211414,0.014413697528610409,PRUNED
6,0.8660628258274623,2026-08-21 14:56:43.498786,2026-08-21 14:59:23.531791,0 days 00:02:40.033005,0.003385226783451979,20,0.9038749530752231,0.04749239763680407,PRUNED
7,0.8403056140705121,2026-08-21 14:59:23.532369,2026-08-21 15:03:34.575621,0 days 00:04:11.043252,0.03313483615508949,20,0.9751561046543922,0.059963338824126605,COMPLETE
8,0.8576079764289347,2026-08-21 15:03:34.576556,2026-08-21 15:06:48.165197,0 days 00:03:13.588641,0.004574578205475401,50,0.9574601267388666,0.022544116997360492,PRUNED
9,0.8396848380345272,2026-08-21 15:06:48.165655,2026-08-21 15:11:31.147520,0 days 00:04:42.981865,0.02306261812167794,30,0.9875085179540983,0.012502377950801122,COMPLETE
10,0.8449720313922912,2026-08-21 15:11:31.149112,2026-08-21 15:20:42.965343,0 days 00:09:11.816231,0.014519832365831317,30,0.9417751509382782,0.010228672856993973,COMPLETE
11,0.8379199754615975,2026-08-21 15:20:42.974711,2026-08-21 15:29:19.299455,0 days 00:08:36.324744,0.03484137301494824,20,0.9863685095248714,0.05152427196624267,COMPLETE
12,0.8532415937399664,2026-08-21 15:29:19.318272,2026-08-21 15:35:33.636928,0 days 00:06:14.318656,0.012406481461496666,30,0.9417855825925936,0.07092783143792641,PRUNED
13,0.8382575081773306,2026-08-21 15:35:33.648109,2026-08-21 15:44:01.515558,0 days 00:08:27.867449,0.02503388074453252,20,0.9837668016979505,0.030868081828490906,COMPLETE
14,0.8541355687110315,2026-08-21 15:44:01.596143,2026-08-21 15:47:23.606702,0 days 00:03:22.010559,0.010759095703764345,20,0.858518262731743,0.03249586470295457,PRUNED
15,0.8361328133861924,2026-08-21 15:47:23.623020,2026-08-21 15:52:47.722968,0 days 00:05:24.099948,0.04982585117992919,20,0.9583411903931603,0.03956664961391472,COMPLETE
16,0.8433093072426986,2026-08-21 15:52:47.790578,2026-08-21 15:56:30.992818,0 days 00:03:43.202240,0.0490248956539397,20,0.9331142850088681,0.10099585334168895,PRUNED
17,0.8375853598241999,2026-08-21 15:56:30.997315,2026-08-21 16:01:53.607120,0 days 00:05:22.609805,0.03157726464072003,20,0.9578502484883265,0.04187274131689276,COMPLETE
18,0.8532287235673639,2026-08-21 16:01:53.607908,2026-08-21 16:05:09.729115,0 days 00:03:16.121207,0.008785451478836291,20,0.9606803383483087,0.035464387433635884,PRUNED
19,0.8534821757959078,2026-08-21 16:05:09.729527,2026-08-21 16:08:47.709713,0 days 00:03:37.980186,0.016782415173421848,10,0.8709190852128799,0.0829926376394724,PRUNED
